Brand,Model,Year Made,Imported Year,Price,Odometer,Мотор багтаамж,Хурдны хайрцаг,Хүрд,Төрөл,Өнгө,Үйлдвэрлэсэн он,Орж ирсэн он,Хөдөлгүүр,Дотор өнгө,Лизинг,Хөтлөгч,Нөхцөл,Хаалга
Toyota,Prius 30,2015,2023,5 сая ₮,150000,1.7 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2015,2023,Хайбрид,Саарал,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Sai,2013,2022,5 сая ₮,120000,2.4 л,Автомат,Буруу,Суудлын тэрэг,Хар саарал,2013,2022,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,4
Toyota,Land Cruiser Prado,2014,2023,92 сая ₮,132000,2.7 л,Автомат,Буруу,Жийп,Хар,2014,2023,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Prius 30,2011,2022,20 сая ₮,184,1.8 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2011,2022,Хайбрид,Цагаан шар,гүй,Урдаа FWD,Дугаар авсан,5
Jeep,Бусад,2013,2023,5 сая ₮,180000,2.4 л,Автомат,Зөв,Жийп,Хар,2013,2023,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,FJ Cruiser,2006,2023,70 сая ₮,150000,4.0 л,Автомат,Зөв,Жийп,Шар,2006,2023,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар авсан,3
Nissan,Murano,2014,2023,5 сая ₮,170000,3.5 л,Автомат,Буруу,Жийп,Хар,2014,2023,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,4
Volkswagen,Tiguan,2019,2023,75 сая ₮,32800,2.0 л,Автомат,Буруу,Жийп,Хар саарал,2019,2023,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар аваагүй,5
Toyota,Harrier,2014,2024,68 сая ₮,140000,2.5 л,Автомат,Буруу,Жийп,Хар,2014,2024,Хайбрид,Хар,Банкны лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,5
Lexus,LX,2011,2012,110 сая ₮,180000,5.7 л,Автомат,Зөв,Жийп,Хар,2011,2012,Бензин,Шаргал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Highlander,2008,2014,33 сая ₮,150,3.0 л,Автомат,Зөв,Жийп,Саарал,2008,2014,Бензин,Саарал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Hyundai,Sonata,2016,2021,31 сая ₮,83700,2.0 л,Автомат,Зөв,Суудлын тэрэг,Хар,2016,2021,Бензин,Хар,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,5
